collection,module_code,module_name,has_skills,semester
EGEFYR3,ENVU9BC,Biodiversity Conservation and Management,false,Spring
EGEFYR3,ENVU9EO,Earth Observation,true,Spring
EGEFYR3,ENVU9FC,International Field Course,true,Spring
EGEFYR3,ENVU9WM,Sustainable Water Management,true,Autumn
EGEFYR3,EOEU5OE,Outdoor education in practice: work placement,false,
EGEFYR3,EOEU6S6,Mountain Leader Assessment,false,
EGEFYR3,GEOU6GI,Sustainable Development,false,Spring
EGEFYR3,GEOU9EH,Environmental Hazards,true,Spring
EGEFYR3,GEOU9GL,Glaciers and Landscape,true,Autumn
EGEFYR3,GEOU9IC,Scotland Field Course,true,Autumn
EGEFYR3,GEOU9SP,Geographical Information Systems,true,Autumn
EGEFYR3,SCIU7SR,Statistics Using R,true,Autumn
EGEFELE,BIOU6PE,Plant Ecology,true,Spring
EGEFELE,ENVU5EP,Environmental Policy in a Changing World,true,Autumn
EGEFELE,ENVU5S5,Living Soils,true,Autumn
EGEFELE,ENVU6SP,Sustainable Landscapes,true,Spring
EGEFELE,ENVU7CP,Conservation Placement,true,Autumn
EGEFELE,ENVU9BC,Biodiversity Conservation and Management,false,Spring
EGEFELE,ENVU9EO,Earth Observation,true,Spring
EGEFELE,ENVU9WM,Sustainable Water Management,true,Autumn
EGEFELE,EOEU6S6,Mountain Leader Assessment,false,
EGEFELE,GEOU6GI,Sustainable Development,false,Spring
EGEFELE,GEOU9EH,Environmental Hazards,true,Spring
EGEFELE,GEOU9GL,Glaciers and Landscape,true,Autumn
EGEFELE,GEOU9IC,Scotland Field Course,true,Autumn
EGEFELE,GEOU9SP,Geographical Information Systems,true,Autumn
EGEFELE,SCIU7SR,Statistics Using R,true,Autumn
ECOFCO3,AQUU6MB,Changing Oceans,false,Spring
ECOFCO3,BIOU5MB,Microbiology,true,Autumn
ECOFCO3,BIOU6BE,Behavioural Ecology,true,Spring
ECOFCO3,BIOU9AP,Animal Physiology,true,Autumn
ECOFCO3,BIOU9IN,Infectious Disease,false,Spring
ECOFCO3,ENVU5S5,Living Soils,true,Autumn
ECOFCO3,ENVU6EA,Methods and Applications in Environmental Sciences,true,Spring
ECOFCO3,ENVU6SP,Sustainable Landscapes,true,Spring
ECOFCO3,ENVU9EO,Earth Observation,true,Spring
ECOFCO3,ENVU9FC,International Field Course,true,Spring
ECOFCO3,ENVU9WM,Sustainable Water Management,true,Autumn
ECOFCO3,GEOU9EH,Environmental Hazards,true,Spring
ECOFCO3,GEOU9GL,Glaciers and Landscape,true,Autumn
ECOFCO3,GEOU9SE,Energy and Society,false,Autumn
ECOFCO3,GEOU9SP,Geographical Information Systems,true,Autumn
ECOFCO3,SCIU7SR,Statistics Using R,true,Autumn
ECOFEL2,AQUU7MM,Marine Mammals Field Course,false,Autumn
ECOFEL2,BIOU7SB,"Phylogenetics, Bioinformatics and Omics",true,Autumn
ECOFEL2,BIOU9SX,Evolutionary Consequences of Sexual Reproduction,true,Autumn
ECOFEL2,BIOU9TM,Molecular Techniques,true,Autumn
ECOFEL2,ENVU7CP,Conservation Placement,true,Autumn
ECOFEL2,BIOU7FC,Biology Field Course,true,Autumn
ECOFEL2,BIOU9PC,Population and Community Ecology,true,Autumn
ECOFEL2,ENVU9WM,Sustainable Water Management,true,Autumn
ECOFEL2,GEOU9SP,Geographical Information Systems,true,Autumn
ECOFEL2,SCIU7SR,Statistics Using R,true,Autumn
ECOFEL3,AQUU6MB,Changing Oceans,false,Spring
ECOFEL3,BIOU9IN,Infectious Disease,false,Spring
ECOFEL3,ENVU9BC,Biodiversity Conservation and Management,false,Spring
ECOFEL3,GEOU9EH,Environmental Hazards,true,Spring
ECOFEL3,BIOU8FC,Biology Field Course,true,Spring
ECOFEL3,ENVU9EO,Earth Observation,true,Spring
ECOFEL3,GEOU9SE,Energy and Society,false,Spring
CELFSE5,AQUU5LR,Managing Living Aquatic Resources,FALSE,Autumn
CELFSE5,BIOU9PC,Population and Community Ecology,TRUE,Autumn
CELFSE5,SCIU7SR,Statistics Using R,TRUE,Autumn
CELFSE6,AQUU6MB,Changing Oceans,FALSE,Spring
CELFSE6,BIOU6BE,Behavioural Ecology,TRUE,Spring
CELFSE6,BIOU6PE,Plant Ecology,TRUE,Spring
CELFSE6,BIOU9IN,Infectious Disease,FALSE,Spring
CELFSE6,BIOU9PL,Applied Biological Sciences Placement,TRUE,Spring
